geo,is--country,time,International migrant stock
abw,true,1960,16.04105274
afg,true,1960,0.483218534
ago,true,1960,2.436135474
aia,true,1960,8.203125
alb,true,1960,3.036263671
and,true,1960,18.66636765
ant,true,1960,20.16836693
are,true,1960,2.431455992
arg,true,1960,12.57529099
asm,true,1960,11.86246703
atg,true,1960,8.906290022
aus,true,1960,16.52400585
aut,true,1960,11.45371178
bdi,true,1960,4.295971534
bel,true,1960,4.823070521
ben,true,1960,1.499179217
bfa,true,1960,1.333347173
bgd,true,1960,1.2217082
bgr,true,1960,0.257976095
bhr,true,1960,17.12424413
bhs,true,1960,10.33435482
blz,true,1960,8.210780353
bmu,true,1960,19.5665787
bol,true,1960,1.274277023
bra,true,1960,1.920599132
brb,true,1960,4.231299477
brn,true,1960,25.13691932
btn,true,1960,4.319854993
bwa,true,1960,1.374164411
caf,true,1960,2.868951424
can,true,1960,15.44643816
chanisl,true,1960,30.44177948
che,true,1960,13.40473542
cheslo,true,1960,0.439141293
chl,true,1960,1.370556105
chn,true,1960,0.038035866
civ,true,1960,22.26627306
cmr,true,1960,3.243903328
cod,true,1960,6.544857981
cog,true,1960,2.601887914
cok,true,1960,4.261145799
col,true,1960,0.366572281
com,true,1960,0.780638912
cpv,true,1960,3.367948215
cri,true,1960,2.450659608
cub,true,1960,2.011100148
cym,true,1960,11.24427212
cyp,true,1960,5.163910394
deu,true,1960,
deu_east,true,1960,1.879548655
deu_west,true,1960,3.020661852
dji,true,1960,13.86388274
dma,true,1960,4.038048896
dnk,true,1960,2.051714048
dom,true,1960,4.316878202
dza,true,1960,3.985621477
ecu,true,1960,0.541949324
egy,true,1960,0.763993232
eri,true,1960,0.541093004
esh,true,1960,2.78624558
esp,true,1960,0.692483729
eth,true,1960,1.743920259
fin,true,1960,0.724243629
fji,true,1960,5.096003756
flk,true,1960,19.7761194
fra,true,1960,7.678820426
fro,true,1960,4.337314302
fsm,true,1960,13.13153995
gab,true,1960,4.296012008
gbm,true,1960,45.85408186
gbr,true,1960,3.173237911
gha,true,1960,7.802954051
gib,true,1960,30.5666004
gin,true,1960,0.362286353
glp,true,1960,3.403816025
gmb,true,1960,9.926192993
gnb,true,1960,1.959995421
gnq,true,1960,7.67653126
grc,true,1960,0.629927477
grd,true,1960,4.46445466
grl,true,1960,7.935924531
gtm,true,1960,1.045949418
guf,true,1960,24.64276915
gum,true,1960,45.97099472
guy,true,1960,2.468777485
hkg,true,1960,52.92476953
hnd,true,1960,2.996790223
hos,true,1960,100
hti,true,1960,0.375588335
hun,true,1960,5.189671918
idn,true,1960,1.998178148
ind,true,1960,2.099095029
irl,true,1960,2.57653766
irn,true,1960,0.222883841
irq,true,1960,1.170496738
isl,true,1960,1.884680508
isr,true,1960,56.08144672
ita,true,1960,0.928186486
jam,true,1960,1.344613749
jor,true,1960,43.05214726
jpn,true,1960,0.743278644
ken,true,1960,0.73208574
khm,true,1960,7.01729297
kir,true,1960,1.849942379
kna,true,1960,6.908338053
kor,true,1960,0.540722464
kwt,true,1960,32.60282252
lao,true,1960,0.924929404
lbn,true,1960,8.0192853
lbr,true,1960,2.72175229
lby,true,1960,3.573747743
lca,true,1960,2.72015112
lie,true,1960,24.57729469
lka,true,1960,10.03523803
lso,true,1960,0.371716213
lux,true,1960,14.7680588
mac,true,1960,46.24988413
mar,true,1960,3.39188056
mco,true,1960,69.48585886
mdg,true,1960,2.475066204
mdv,true,1960,1.728916458
mex,true,1960,0.588877787
mhl,true,1960,5.769624224
mli,true,1960,3.312335072
mlt,true,1960,0.54871619
mmr,true,1960,1.359722364
mng,true,1960,0.384201036
mnp,true,1960,26.48529706
moz,true,1960,0.117040136
mrt,true,1960,1.403225394
msr,true,1960,8.001322533
mtq,true,1960,2.621017108
mus,true,1960,1.550812669
mwi,true,1960,8.436337545
mys,true,1960,0.698921
myt,true,1960,5.353193975
nam,true,1960,4.51805779
ncl,true,1960,14.07509968
ner,true,1960,1.696940306
nga,true,1960,0.208498683
nic,true,1960,0.69785684
niu,true,1960,4.904006678
nld,true,1960,3.888172259
nor,true,1960,1.719939525
npl,true,1960,3.483856482
nru,true,1960,9.252990296
nzl,true,1960,14.075
omn,true,1960,7.722953035
pak,true,1960,13.01889887
pan,true,1960,6.06426954
pcn,true,1960,6.896551724
per,true,1960,0.669826503
phl,true,1960,0.811896751
plw,true,1960,3.283767038
png,true,1960,0.970401994
pol,true,1960,8.181785453
pri,true,1960,2.714767414
prk,true,1960,0.229041685
prt,true,1960,0.439153494
pry,true,1960,2.622385873
pse,true,1960,44.5315445
pyf,true,1960,4.619709078
qat,true,1960,32
reu,true,1960,3.348703944
rou,true,1960,1.797566143
rwa,true,1960,0.988120116
sau,true,1960,1.555660593
sdn,true,1960,2.071274749
sen,true,1960,5.451693685
sgp,true,1960,31.77760098
shn,true,1960,2.765463373
slb,true,1960,3.140480498
sle,true,1960,2.037423993
slv,true,1960,1.241852663
smr,true,1960,48.85758795
som,true,1960,0.402846031
spm,true,1960,5.408702725
stp,true,1960,11.57336073
sur,true,1960,7.745862069
swe,true,1960,3.952111771
swz,true,1960,4.85317874
syc,true,1960,1.944048222
syr,true,1960,5.974117711
tca,true,1960,3.144654088
tcd,true,1960,1.856262357
tgo,true,1960,6.466512555
tha,true,1960,1.753989544
tkl,true,1960,5.74650913
tls,true,1960,1.428171828
ton,true,1960,0.177004096
tto,true,1960,9.610619154
tun,true,1960,4.00886014
tur,true,1960,3.356480006
tuv,true,1960,6.092368162
tza,true,1960,4.735756752
uga,true,1960,11.37012068
ury,true,1960,7.56870941
usa,true,1960,5.810024639
ussr,true,1960,1.372569355
vct,true,1960,3.08106639
ven,true,1960,6.721427068
vgb,true,1960,8.123284253
vir,true,1960,36.9897021
vnm,true,1960,0.011917362
vut,true,1960,4.437202306
wlf,true,1960,0.408830744
wsm,true,1960,3.120564795
yem,true,1960,3.047600445
yug,true,1960,0.851403606
zaf,true,1960,5.332435987
zmb,true,1960,11.85295484
zwe,true,1960,10.32078501
abw,true,1965,14.23775964
afg,true,1965,0.466796348
ago,true,1965,1.399976641
aia,true,1965,10.16563819
alb,true,1965,2.749229655
and,true,1965,37.68686923
ant,true,1965,17.38738185
are,true,1965,18.01358941
arg,true,1965,10.78062342
asm,true,1965,17.61872571
atg,true,1965,9.440741343
aus,true,1965,17.82823429
aut,true,1965,10.25032282
bdi,true,1965,5.746676021
bel,true,1965,6.421336488
ben,true,1965,1.564659997
bfa,true,1965,1.465576991
bgd,true,1965,1.124496821
bgr,true,1965,0.253324712
bhr,true,1965,20.07946562
bhs,true,1965,13.35089343
blz,true,1965,8.264857277
bmu,true,1965,22.69200057
bol,true,1965,1.252462892
bra,true,1965,1.559239595
brb,true,1965,4.865221088
brn,true,1965,25.40243117
btn,true,1965,4.400012523
bwa,true,1965,1.453293124
caf,true,1965,2.784941598
can,true,1965,15.34988938
chanisl,true,1965,34.34896103
che,true,1965,15.14681733
cheslo,true,1965,0.449204498
chl,true,1965,1.127632339
chn,true,1965,0.036366041
civ,true,1965,22.63294245
cmr,true,1965,3.108409323
cod,true,1965,7.555246751
cog,true,1965,2.972783837
cok,true,1965,4.892192525
col,true,1965,0.403669264
com,true,1965,1.008110147
cpv,true,1965,3.037239271
cri,true,1965,2.025980917
cub,true,1965,1.717966172
cym,true,1965,13.17921573
cyp,true,1965,5.578357696
deu,true,1965,
deu_east,true,1965,1.153985504
deu_west,true,1965,3.508408179
dji,true,1965,13.61209431
dma,true,1965,3.629256485
dnk,true,1965,2.100757503
dom,true,1965,4.252128076
dza,true,1965,1.747034996
ecu,true,1965,0.637903397
egy,true,1965,0.659160131
eri,true,1965,0.510467486
esh,true,1965,2.300971827
esp,true,1965,0.849138921
eth,true,1965,1.505725136
fin,true,1965,0.705433521
fji,true,1965,3.869472913
flk,true,1965,13.44578313
fra,true,1965,9.118537668
fro,true,1965,4.711567502
fsm,true,1965,10.65076296
gab,true,1965,5.785392432
gbm,true,1965,47.23028615
gbr,true,1965,4.67698718
gha,true,1965,5.442676525
gib,true,1965,32.14614548
gin,true,1965,0.400214792
glp,true,1965,4.384282384
gmb,true,1965,10.58177702
gnb,true,1965,1.994969962
gnq,true,1965,5.186540982
grc,true,1965,0.803496197
grd,true,1965,3.75305352
grl,true,1965,10.88614051
gtm,true,1965,1.006385929
guf,true,1965,30.22684547
gum,true,1965,45.03958583
guy,true,1965,2.085891473
hkg,true,1965,45.96084562
hnd,true,1965,1.606803767
hos,true,1965,100
hti,true,1965,0.297478218
hun,true,1965,4.688240857
idn,true,1965,1.418681836
ind,true,1965,1.88164938
irl,true,1965,3.282248245
irn,true,1965,0.216030482
irq,true,1965,0.911257279
isl,true,1965,2.3515625
isr,true,1965,50.38444429
ita,true,1965,1.222968866
jam,true,1965,1.362950071
jor,true,1965,40.99076463
jpn,true,1965,0.727014512
ken,true,1965,1.069036133
khm,true,1965,6.083706592
kir,true,1965,1.588642001
kna,true,1965,6.306782382
kor,true,1965,0.550009253
kwt,true,1965,51.12717242
lao,true,1965,0.844918846
lbn,true,1965,7.982431765
lbr,true,1965,3.050788895
lby,true,1965,3.47012562
lca,true,1965,2.781149182
lie,true,1965,28.47370671
lka,true,1965,9.175478339
lso,true,1965,0.389202601
lux,true,1965,15.7312861
mac,true,1965,42.14873664
mar,true,1965,1.674052391
mco,true,1965,67.07987164
mdg,true,1965,1.706893186
mdv,true,1965,1.654729109
mex,true,1965,0.463401362
mhl,true,1965,5.41603981
mli,true,1965,3.005274202
mlt,true,1965,2.072137941
mmr,true,1965,1.189056565
mng,true,1965,0.372297824
mnp,true,1965,27.97781415
moz,true,1965,0.094699194
mrt,true,1965,1.567789921
msr,true,1965,9.82346482
mtq,true,1965,3.462427746
mus,true,1965,1.395038829
mwi,true,1965,7.42410233
mys,true,1965,2.154015831
myt,true,1965,6.458408769
nam,true,1965,5.049713151
ncl,true,1965,19.3044697
ner,true,1965,1.697265748
nga,true,1965,0.241780075
nic,true,1965,0.730948867
niu,true,1965,5.752926928
nld,true,1965,2.779099707
